Product_Names,Product_Price,Processor,Camera
"SAMSUNG Galaxy M33 5G (Mystique Green, 128 GB)","₹18,989",MediaTek Helio P35 Processor,50MP Rear Camera
"SAMSUNG Galaxy M04 (Light Green, 64 GB)","₹8,699",Exynos 1280 Processor,13MP + 2MP | 5MP Front Camera
"SAMSUNG Galaxy F34 5G (Black, 128 GB)","₹18,999",Exynos 1280 Processor,50MP + 8MP + 2MP | 13MP Front Camera
"SAMSUNG Galaxy F34 5G (Black, 128 GB)","₹20,999",Exynos 1280 Processor,50MP + 8MP + 2MP | 13MP Front Camera
"SAMSUNG Galaxy F34 5G (Green, 128 GB)","₹20,999",Exynos 1280 Processor,50MP + 8MP + 2MP | 13MP Front Camera
"SAMSUNG Galaxy F34 5G (Green, 128 GB)","₹18,999",Snapdragon 8 Gen 2 Processor,50MP + 8MP + 2MP | 13MP Front Camera
"SAMSUNG GALAXY M13 (Stardust Brown, 128 GB)","₹12,909",Snapdragon 8 Gen 2 Processor,50MP Rear Camera
"SAMSUNG Galaxy M14 5G (Icy Silver, 128 GB)","₹18,990",Snapdragon 8 Gen 2 Processor,50MP Rear Camera
"SAMSUNG Galaxy M34 5G without charger (Midnight Blue, 128 GB)","₹19,679",Snapdragon 8 Gen 2 Processor,50MP Rear Camera
"SAMSUNG Galaxy Z Fold5 (Icy Blue, 512 GB)","₹1,64,999",Snapdragon 8 Gen 2 Processor,12MP + 12MP | 10MP Front Camera
"SAMSUNG Galaxy Z Fold5 (Beige, 1 TB)","₹1,84,999",Snapdragon 8 Gen 2 Processor,12MP + 12MP | 10MP Front Camera
"SAMSUNG Galaxy Z Flip5 (Lavender, 256 GB)","₹99,999",Snapdragon 8 Gen 2 Processor,12MP + 12MP | 10MP Front Camera
"SAMSUNG Galaxy Z Fold5 (Cream, 512 GB)","₹1,64,999",Snapdragon 8 Gen 2 Processor,12MP + 12MP | 10MP Front Camera
"SAMSUNG Galaxy Z Flip5 (Lavender, 512 GB)","₹1,09,999",Snapdragon 8 Gen 2 Processor,12MP + 12MP | 10MP Front Camera
"SAMSUNG Galaxy Z Flip5 (Cream, 256 GB)","₹99,999",Snapdragon 8 Gen 2 Processor,12MP + 12MP | 10MP Front Camera
"SAMSUNG Galaxy Z Fold5 (Light Blue, 1 TB)","₹1,84,999",Snapdragon 8 Gen 2 Processor,12MP + 12MP | 10MP Front Camera
"SAMSUNG Galaxy Z Fold5 (Phantom Black, 512 GB)","₹1,64,999",Snapdragon 8 Gen 2 Processor,12MP + 12MP | 10MP Front Camera
"SAMSUNG Galaxy Z Flip5 (Mint, 512 GB)","₹1,09,999",Snapdragon 8 Gen 2 Processor,50MP Rear Camera
